,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.011,0.823,0.823,0.688,0.823,0.431,0.455,0.813,0.049,0.004,0.42
1911-1920,0.011,0.0,0.475,0.087,0.133,0.777,0.194,0.152,0.106,0.385,0.04,0.116
1921-1930,0.823,0.475,0.0,0.954,0.641,0.674,0.327,0.591,0.597,0.585,0.467,0.642
1931-1940,0.823,0.087,0.954,0.0,0.849,0.828,0.461,0.701,0.752,0.246,0.051,0.459
1941-1950,0.688,0.133,0.641,0.849,0.0,0.347,0.358,0.5,0.506,0.264,0.042,0.284
1951-1960,0.823,0.777,0.674,0.828,0.347,0.0,0.32,0.809,0.718,0.94,0.914,0.9
1961-1970,0.431,0.194,0.327,0.461,0.358,0.32,0.0,0.566,0.329,0.368,0.158,0.357
1971-1980,0.455,0.152,0.591,0.701,0.5,0.809,0.566,0.0,0.616,0.226,0.135,0.495
1981-1990,0.813,0.106,0.597,0.752,0.506,0.718,0.329,0.616,0.0,0.332,0.086,0.269
1991-2000,0.049,0.385,0.585,0.246,0.264,0.94,0.368,0.226,0.332,0.0,0.27,0.633
2001-2010,0.004,0.04,0.467,0.051,0.042,0.914,0.158,0.135,0.086,0.27,0.0,0.883
2011-2018,0.42,0.116,0.642,0.459,0.284,0.9,0.357,0.495,0.269,0.633,0.883,0.0
