timespan_1,timespan_2,distance,drift_magnitude,p_value
1941-1950,2011-2018,7,5.1405273709600205,0.0
1941-1950,1951-1960,1,4.901460815186776,0.001
1941-1950,1971-1980,3,3.649003533173599,0.002
1921-1930,1951-1960,3,5.031912243651639,0.002
1951-1960,1971-1980,2,5.312602432399108,0.004
1951-1960,1981-1990,3,4.870529628444666,0.005
1921-1930,2011-2018,9,4.890704305428301,0.006
1911-1920,1951-1960,4,4.551778808674774,0.011
1931-1940,1951-1960,2,4.518508622017689,0.011
1941-1950,1961-1970,2,3.3661071243382024,0.012
1981-1990,2011-2018,3,4.841906677728119,0.013
1931-1940,2011-2018,8,4.5695056158073815,0.038
1901-1910,1951-1960,5,4.657005896573646,0.042
1951-1960,1961-1970,1,4.328961533181231,0.045
1951-1960,2001-2010,5,4.342342251208539,0.047
