,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,4.045374118904895,2.993934414183591,3.2135816816726637,3.233868625519076,2.9435101191876316,3.4367459306412727,3.376556501018928,5.607147846254305,2.9296533939077216,3.725313350005625,3.09674689409172
1911-1920,4.045374118904895,0.0,2.772051378203139,2.2377487783930206,2.9362497970215324,3.3965630952236343,3.5333825986720244,4.765066214352811,4.244979278606132,5.303178430995649,2.46566559108833,4.148006658055789
1921-1930,2.993934414183591,2.772051378203139,0.0,2.3235113330612567,2.2908339360354124,2.5495949956250157,2.6160916905466256,3.839801667195993,4.655444504314022,4.036039968826294,2.616345458917206,3.1831477600192533
1931-1940,3.2135816816726637,2.2377487783930206,2.3235113330612567,0.0,2.2106508778935345,2.8721642678567276,3.1745787376265024,4.002209632348146,3.911654539221636,4.279420512415714,1.9170761145508686,3.6181712367953955
1941-1950,3.233868625519076,2.9362497970215324,2.2908339360354124,2.2106508778935345,0.0,2.543369911799445,2.608267699513067,3.6842519162764646,4.669152962411139,3.9261234800490783,2.211026512732621,3.0468222520673454
1951-1960,2.9435101191876316,3.3965630952236343,2.5495949956250157,2.8721642678567276,2.543369911799445,0.0,2.833965040486045,3.54142686808828,4.9929015783509865,3.9007783152265034,3.0444022473339043,3.102394948237186
1961-1970,3.4367459306412727,3.5333825986720244,2.6160916905466256,3.1745787376265024,2.608267699513067,2.833965040486045,0.0,3.730199775484739,5.311115404282293,4.15396834509323,3.1957042603384367,3.032215336747128
1971-1980,3.376556501018928,4.765066214352811,3.839801667195993,4.002209632348146,3.6842519162764646,3.54142686808828,3.730199775484739,0.0,5.94549007563053,3.3554362615923283,3.995781194001357,4.075361643205822
1981-1990,5.607147846254305,4.244979278606132,4.655444504314022,3.911654539221636,4.669152962411139,4.9929015783509865,5.311115404282293,5.94549007563053,0.0,6.3342019158185625,4.159730773260022,6.101704180781633
1991-2000,2.9296533939077216,5.303178430995649,4.036039968826294,4.279420512415714,3.9261234800490783,3.9007783152265034,4.15396834509323,3.3554362615923283,6.3342019158185625,0.0,4.644703577893508,4.068260330367767
2001-2010,3.725313350005625,2.46566559108833,2.616345458917206,1.9170761145508686,2.211026512732621,3.0444022473339043,3.1957042603384367,3.995781194001357,4.159730773260022,4.644703577893508,0.0,3.5493316595481126
2011-2018,3.09674689409172,4.148006658055789,3.1831477600192533,3.6181712367953955,3.0468222520673454,3.102394948237186,3.032215336747128,4.075361643205822,6.101704180781633,4.068260330367767,3.5493316595481126,0.0
