,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,16.123091712746156,16.577016124190603,16.60038372927009,16.61043376642507,15.873517853347682,16.360845342488712,15.969555637111746,16.108321666583773,16.004393653766137,15.922981718627907,16.00166835776806
1911-1920,16.123091712746156,0.0,6.380628632785015,5.937568682662855,5.523298718437112,6.0969209581636425,5.520262758695958,5.83436055015469,5.685207843587183,5.449291037846912,5.504290774089347,5.272159780126893
1921-1930,16.577016124190603,6.380628632785015,0.0,6.220890579211372,5.507715357437529,5.953169129896882,6.4039555427961625,6.059399047289461,5.636840273576012,5.196227727476905,5.678644016127463,5.747992010464567
1931-1940,16.60038372927009,5.937568682662855,6.220890579211372,0.0,3.686082424111996,3.696997094424548,3.7679009433341277,3.6235557492749666,4.129395436270013,3.6383953698077414,3.6695842901457802,3.5388093145301345
1941-1950,16.61043376642507,5.523298718437112,5.507715357437529,3.686082424111996,0.0,3.6284181268194295,2.886673958212777,3.081063645996382,3.2347115878650334,2.5997682379982954,2.8961367802333653,2.8616619647787633
1951-1960,15.873517853347682,6.0969209581636425,5.953169129896882,3.696997094424548,3.6284181268194295,0.0,3.807420002150093,3.0619747911183524,3.993601554772946,3.0732475306781195,2.9150870211944304,2.9085957681951564
1961-1970,16.360845342488712,5.520262758695958,6.4039555427961625,3.7679009433341277,2.886673958212777,3.807420002150093,0.0,2.621076769866151,3.087067269722128,2.6192049152154864,2.87441110859833,2.6643849341733987
1971-1980,15.969555637111746,5.83436055015469,6.059399047289461,3.6235557492749666,3.081063645996382,3.0619747911183524,2.621076769866151,0.0,2.9699961658300595,2.4967957803485437,2.502395326741229,2.4495885658925864
1981-1990,16.108321666583773,5.685207843587183,5.636840273576012,4.129395436270013,3.2347115878650334,3.993601554772946,3.087067269722128,2.9699961658300595,0.0,2.302320788576443,2.862705418105492,2.6001433499100246
1991-2000,16.004393653766137,5.449291037846912,5.196227727476905,3.6383953698077414,2.5997682379982954,3.0732475306781195,2.6192049152154864,2.4967957803485437,2.302320788576443,0.0,1.7934474369704,1.93510576772627
2001-2010,15.922981718627907,5.504290774089347,5.678644016127463,3.6695842901457802,2.8961367802333653,2.9150870211944304,2.87441110859833,2.502395326741229,2.862705418105492,1.7934474369704,0.0,1.9358412694597347
2011-2018,16.00166835776806,5.272159780126893,5.747992010464567,3.5388093145301345,2.8616619647787633,2.9085957681951564,2.6643849341733987,2.4495885658925864,2.6001433499100246,1.93510576772627,1.9358412694597347,0.0
