synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s7419,decke,1901-1910,1911-1920,0.007195547184749366,0.15907558304037778
s7419,decke,1911-1920,1921-1930,0.005505194540392475,0.1935041521329692
s7419,decke,1921-1930,1931-1940,0.006404930158371211,0.1944264686321001
s7419,decke,1931-1940,1941-1950,0.024052900148788248,0.154684212950678
s7419,decke,1941-1950,1951-1960,0.026572870455411315,0.9018473476623928
s7419,decke,1951-1960,1961-1970,0.024886543231537352,0.6039896997079204
s7419,decke,1961-1970,1971-1980,0.006112596652701552,0.1434344640078816
s7419,decke,1971-1980,1981-1990,0.00895767129601605,0.10147852203896277
s7419,decke,1981-1990,1991-2000,0.02624637741171318,0.1018672327944984
s7419,decke,1991-2000,2001-2010,0.022620465956606498,0.4984419837759162
