synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s26149,fuß,1901-1910,1911-1920,0.01693248824118045,0.13465895599841948
s26149,fuß,1911-1920,1921-1930,0.00932590504143498,0.6543604209464395
s26149,fuß,1921-1930,1931-1940,0.011293861831618946,0.15825065537356864
s26149,fuß,1931-1940,1941-1950,0.020497834647594953,0.9061300335854048
s26149,fuß,1941-1950,1951-1960,0.023407391140707983,0.311717482235823
s26149,fuß,1951-1960,1961-1970,0.010566332236654616,0.07117288861281336
s26149,fuß,1961-1970,1971-1980,0.003497744701051318,0.523637107951452
s26149,fuß,1971-1980,1981-1990,0.01485100129112161,0.7828577128804809
s26149,fuß,1981-1990,1991-2000,0.007075648972741913,0.08876575809281133
s26149,fuß,1991-2000,2001-2010,0.0041502456237161095,0.21879283760383722
