,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,1.8495066705179402,5.922156297068946,5.368901694501985,2.127847528804778,3.3282703459001026,2.481769612589487,2.5973802083161073,3.7201273070920373,3.50524848453175,1.9402046733379676,2.8750532407057365
1911-1920,1.8495066705179402,0.0,6.034119740050261,5.500704523345621,2.352395326515662,3.3349196779944656,2.4678553736492552,2.660516941267545,4.084295132688983,4.071339893509993,2.5026904502858804,3.1921202490892755
1921-1930,5.922156297068946,6.034119740050261,0.0,6.879731051905695,6.258770515167046,6.25566548936123,6.245690800162232,6.06107000127991,6.1853041089397625,6.39620773044633,6.099151099466535,6.022131225278088
1931-1940,5.368901694501985,5.500704523345621,6.879731051905695,0.0,5.162133256347386,4.6610557045797965,5.402164156640655,5.2360805753385895,5.09267537371741,4.932535459851286,5.00285182830765,5.127963883432531
1941-1950,2.127847528804778,2.352395326515662,6.258770515167046,5.162133256347386,0.0,2.616545200267044,2.421140164368602,2.270279640633703,3.614859945300324,3.417019171491523,2.272279787404062,2.719149330128396
1951-1960,3.3282703459001026,3.3349196779944656,6.25566548936123,4.6610557045797965,2.616545200267044,0.0,2.852271752883356,2.8162563828875786,3.7281877287233747,3.2908437310001437,2.9440886289185446,3.232121297229114
1961-1970,2.481769612589487,2.4678553736492552,6.245690800162232,5.402164156640655,2.421140164368602,2.852271752883356,0.0,2.8233665073437133,3.7901695227452312,3.7858546432227986,2.632035529556656,3.4619041990326496
1971-1980,2.5973802083161073,2.660516941267545,6.06107000127991,5.2360805753385895,2.270279640633703,2.8162563828875786,2.8233665073437133,0.0,3.6353134534074467,3.743886429330737,2.6303477974964613,3.2011982370190575
1981-1990,3.7201273070920373,4.084295132688983,6.1853041089397625,5.09267537371741,3.614859945300324,3.7281877287233747,3.7901695227452312,3.6353134534074467,0.0,4.2616318443752705,3.6510003291776196,3.8953459687787277
1991-2000,3.50524848453175,4.071339893509993,6.39620773044633,4.932535459851286,3.417019171491523,3.2908437310001437,3.7858546432227986,3.743886429330737,4.2616318443752705,0.0,2.858530064555893,2.702905537796059
2001-2010,1.9402046733379676,2.5026904502858804,6.099151099466535,5.00285182830765,2.272279787404062,2.9440886289185446,2.632035529556656,2.6303477974964613,3.6510003291776196,2.858530064555893,0.0,2.6377384616059807
2011-2018,2.8750532407057365,3.1921202490892755,6.022131225278088,5.127963883432531,2.719149330128396,3.232121297229114,3.4619041990326496,3.2011982370190575,3.8953459687787277,2.702905537796059,2.6377384616059807,0.0
