,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.863,0.008,0.023,0.42,0.003,0.202,0.426,0.08,0.007,0.52,0.09
1911-1920,0.863,0.0,0.033,0.119,0.706,0.089,0.797,0.871,0.154,0.009,0.408,0.264
1921-1930,0.008,0.033,0.0,0.441,0.007,0.056,0.003,0.059,0.364,0.005,0.009,0.024
1931-1940,0.023,0.119,0.441,0.0,0.209,0.397,0.066,0.411,0.9,0.46,0.195,0.321
1941-1950,0.42,0.706,0.007,0.209,0.0,0.573,0.651,0.982,0.414,0.08,0.555,0.513
1951-1960,0.003,0.089,0.056,0.397,0.573,0.0,0.467,0.805,0.509,0.329,0.142,0.286
1961-1970,0.202,0.797,0.003,0.066,0.651,0.467,0.0,0.682,0.482,0.006,0.233,0.021
1971-1980,0.426,0.871,0.059,0.411,0.982,0.805,0.682,0.0,0.954,0.176,0.62,0.507
1981-1990,0.08,0.154,0.364,0.9,0.414,0.509,0.482,0.954,0.0,0.394,0.287,0.652
1991-2000,0.007,0.009,0.005,0.46,0.08,0.329,0.006,0.176,0.394,0.0,0.249,0.774
2001-2010,0.52,0.408,0.009,0.195,0.555,0.142,0.233,0.62,0.287,0.249,0.0,0.437
2011-2018,0.09,0.264,0.024,0.321,0.513,0.286,0.021,0.507,0.652,0.774,0.437,0.0
