synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s74827,kasse,1901-1910,1911-1920,0.005243118482947217,0.27798778565787063
s74827,kasse,1911-1920,1921-1930,0.013698986501465865,0.7487327935306229
s74827,kasse,1921-1930,1931-1940,0.008771457581530875,0.06447757559276994
s74827,kasse,1931-1940,1941-1950,0.013286701549504678,0.695724792799313
s74827,kasse,1941-1950,1951-1960,0.050556692722543414,1.1245006834253446
s74827,kasse,1951-1960,1961-1970,0.015958716052143843,0.12436838398440773
s74827,kasse,1961-1970,1971-1980,0.025688309356264483,0.12863486457504486
s74827,kasse,1971-1980,1981-1990,0.004937053258450125,0.2549923980497991
s74827,kasse,1981-1990,1991-2000,0.011895355891773573,0.14069811609564442
s74827,kasse,1991-2000,2001-2010,0.027248753991801846,1.1843325250134982
