timespan_1,timespan_2,distance,drift_magnitude,p_value
1921-1930,1941-1950,2,4.159201525939662,0.0
1901-1910,1941-1950,4,3.506810480741405,0.001
1921-1930,1981-1990,6,4.9099434668514785,0.001
1911-1920,1941-1950,3,3.2375847154325736,0.002
1911-1920,1981-1990,7,4.546867331851985,0.003
1921-1930,1971-1980,5,4.439004795768985,0.008
1921-1930,1991-2000,7,4.10674809425405,0.009
1901-1910,1931-1940,3,3.6113106809050297,0.017
1921-1930,1931-1940,1,3.4523729525387377,0.024
1921-1930,2001-2010,8,4.805596047322068,0.026
1901-1910,1971-1980,7,3.550590148992683,0.028
1971-1980,1981-1990,1,3.8548092841789736,0.031
1971-1980,2001-2010,3,4.3222719187831675,0.039
1911-1920,1971-1980,6,3.47690622627222,0.045
