timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1911-1920,1,6.26874734534699,0.0
1901-1910,1971-1980,7,5.737523524548562,0.0
1911-1920,1961-1970,5,4.8229266225665715,0.0
1911-1920,1931-1940,2,5.1072627140619336,0.0
1911-1920,1941-1950,3,5.643947007289412,0.0
1911-1920,1951-1960,4,4.743002449089119,0.0
1911-1920,1981-1990,7,6.0100342190046625,0.0
1901-1910,2011-2018,11,4.8860337892094625,0.001
1901-1910,2001-2010,10,5.708971804132764,0.001
1901-1910,1951-1960,5,4.4318041657125855,0.002
1911-1920,2001-2010,9,5.131258527124946,0.002
1911-1920,2011-2018,10,4.419606587826771,0.002
1911-1920,1971-1980,6,4.971849025324094,0.003
1901-1910,1931-1940,3,4.176557345617171,0.003
1901-1910,1991-2000,9,4.766853305976282,0.003
1901-1910,1961-1970,6,3.943696971811379,0.005
1901-1910,1981-1990,8,4.601691000568214,0.007
1941-1950,1971-1980,3,4.463972227093905,0.014
1911-1920,1991-2000,8,4.309984696349812,0.019
1911-1920,1921-1930,1,4.549013604040546,0.02
1961-1970,1971-1980,1,3.7837503916480233,0.027
1951-1960,2001-2010,5,4.127837977555607,0.035
1941-1950,2011-2018,7,4.024598145967583,0.039
1901-1910,1921-1930,2,4.452249631216779,0.044
1931-1940,2001-2010,7,4.309782084228551,0.045
1961-1970,2001-2010,4,4.0884137004301895,0.048
