,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.0,0.036,0.0,0.0,0.081,0.229,0.634,0.0,0.013,0.0,0.0
1911-1920,0.0,0.0,0.009,0.011,0.658,0.692,0.334,0.821,0.0,0.048,0.0,0.0
1921-1930,0.036,0.009,0.0,0.013,0.04,0.278,0.334,0.461,0.0,0.067,0.0,0.0
1931-1940,0.0,0.011,0.013,0.0,0.149,0.29,0.751,0.491,0.0,0.1,0.0,0.001
1941-1950,0.0,0.658,0.04,0.149,0.0,0.548,0.682,0.794,0.0,0.095,0.001,0.001
1951-1960,0.081,0.692,0.278,0.29,0.548,0.0,0.138,0.779,0.007,0.01,0.006,0.047
1961-1970,0.229,0.334,0.334,0.751,0.682,0.138,0.0,0.253,0.67,0.573,0.667,0.914
1971-1980,0.634,0.821,0.461,0.491,0.794,0.779,0.253,0.0,0.079,0.072,0.125,0.313
1981-1990,0.0,0.0,0.0,0.0,0.0,0.007,0.67,0.079,0.0,0.167,0.073,0.299
1991-2000,0.013,0.048,0.067,0.1,0.095,0.01,0.573,0.072,0.167,0.0,0.634,0.821
2001-2010,0.0,0.0,0.0,0.0,0.001,0.006,0.667,0.125,0.073,0.634,0.0,0.789
2011-2018,0.0,0.0,0.0,0.001,0.001,0.047,0.914,0.313,0.299,0.821,0.789,0.0
