timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1911-1920,1,2.8904631127436584,0.0
1901-1910,1931-1940,3,2.892823948824027,0.0
1901-1910,1941-1950,4,2.663265438352422,0.0
1901-1910,1981-1990,8,4.691584306644681,0.0
1901-1910,2011-2018,11,4.110956845264802,0.0
1901-1910,2001-2010,10,4.457663237106162,0.0
1911-1920,2001-2010,9,4.754389871667894,0.0
1911-1920,1981-1990,7,4.603494938874355,0.0
1911-1920,2011-2018,10,4.593996848838031,0.0
1921-1930,2011-2018,9,3.920686614081949,0.0
1941-1950,1981-1990,4,4.126260942310113,0.0
1931-1940,2001-2010,7,3.8567126532488736,0.0
1931-1940,1981-1990,5,3.5894027167458686,0.0
1921-1930,1981-1990,6,4.4134017409645185,0.0
1921-1930,2001-2010,8,4.180331388820553,0.0
1931-1940,2011-2018,8,3.7548688178434966,0.001
1941-1950,2011-2018,7,3.9511533548727367,0.001
1941-1950,2001-2010,6,4.156647259339341,0.001
1951-1960,2001-2010,5,5.678560473713991,0.006
1951-1960,1981-1990,3,5.757183678441074,0.007
1911-1920,1921-1930,1,2.25150054319767,0.009
1951-1960,1991-2000,4,6.079815713696625,0.01
1911-1920,1931-1940,2,2.1221688594033994,0.011
1901-1910,1991-2000,9,4.899245599355787,0.013
1921-1930,1931-1940,1,1.9777951597884926,0.013
1901-1910,1921-1930,2,1.8638569910505822,0.036
1921-1930,1941-1950,2,2.0549246071283176,0.04
1951-1960,2011-2018,6,5.635485772506613,0.047
1911-1920,1991-2000,8,5.131285533564476,0.048
