,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,2.5938006891456094,2.720618222582222,4.653895972909668,3.7123434702718225,3.48768295203579,2.5297224899129014,3.499129019327147,3.0544993856048683,3.8157840472907543,3.263208821878964,5.026787065429665
1911-1920,2.5938006891456094,0.0,2.5208338216472055,4.4888549605441055,3.3383558835179508,2.9008101338052517,2.012948244065083,2.968742352000849,2.1876364482867356,3.3275565764919683,2.895067430549281,5.088612909818888
1921-1930,2.720618222582222,2.5208338216472055,0.0,4.38750481558073,3.077659815101527,3.0630266618814783,2.6392429293632604,3.391695502240422,2.961419892834984,3.7001426132135156,3.3341062468417193,5.334165733805587
1931-1940,4.653895972909668,4.4888549605441055,4.38750481558073,0.0,3.8930602184898904,5.6036476069488055,4.523987271048269,5.890304259754107,4.223952120367616,6.04657501039494,5.788699957862388,7.251664979045709
1941-1950,3.7123434702718225,3.3383558835179508,3.077659815101527,3.8930602184898904,0.0,4.333315007411907,3.7604333135784755,4.62860267432976,3.7240378667390233,4.592001511787745,4.44604226893389,6.034824312425717
1951-1960,3.48768295203579,2.9008101338052517,3.0630266618814783,5.6036476069488055,4.333315007411907,0.0,2.828579911496406,2.59783602070839,3.524186810809042,4.060593053767598,2.8293346783055995,4.255606973886425
1961-1970,2.5297224899129014,2.012948244065083,2.6392429293632604,4.523987271048269,3.7604333135784755,2.828579911496406,0.0,2.6206028801408543,2.356004928596439,3.1479114693237573,2.393668511360405,4.7846157864622665
1971-1980,3.499129019327147,2.968742352000849,3.391695502240422,5.890304259754107,4.62860267432976,2.59783602070839,2.6206028801408543,0.0,3.146575138976753,3.8354673461717232,2.117795257991035,4.138800207438644
1981-1990,3.0544993856048683,2.1876364482867356,2.961419892834984,4.223952120367616,3.7240378667390233,3.524186810809042,2.356004928596439,3.146575138976753,0.0,3.6915370002234855,2.9613917989596947,5.3181345332784415
1991-2000,3.8157840472907543,3.3275565764919683,3.7001426132135156,6.04657501039494,4.592001511787745,4.060593053767598,3.1479114693237573,3.8354673461717232,3.6915370002234855,0.0,3.487094997496678,5.023876039287188
2001-2010,3.263208821878964,2.895067430549281,3.3341062468417193,5.788699957862388,4.44604226893389,2.8293346783055995,2.393668511360405,2.117795257991035,2.9613917989596947,3.487094997496678,0.0,3.979036036040628
2011-2018,5.026787065429665,5.088612909818888,5.334165733805587,7.251664979045709,6.034824312425717,4.255606973886425,4.7846157864622665,4.138800207438644,5.3181345332784415,5.023876039287188,3.979036036040628,0.0
