,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,1.0,0.253,1.0,0.356,0.916,0.139,0.729,0.35,0.203,0.16
1921-1930,1.0,0.0,0.535,1.0,0.511,1.0,0.405,1.0,0.797,0.834,0.79
1931-1940,0.253,0.535,0.0,0.479,0.583,0.316,0.047,0.287,0.031,0.02,0.006
1941-1950,1.0,1.0,0.479,0.0,0.768,0.963,0.494,0.949,0.813,0.73,0.886
1951-1960,0.356,0.511,0.583,0.768,0.0,0.745,0.733,0.334,0.816,0.522,0.523
1961-1970,0.916,1.0,0.316,0.963,0.745,0.0,0.12,0.949,0.429,0.228,0.196
1971-1980,0.139,0.405,0.047,0.494,0.733,0.12,0.0,0.1,0.146,0.048,0.01
1981-1990,0.729,1.0,0.287,0.949,0.334,0.949,0.1,0.0,0.535,0.328,0.296
1991-2000,0.35,0.797,0.031,0.813,0.816,0.429,0.146,0.535,0.0,0.987,0.164
2001-2010,0.203,0.834,0.02,0.73,0.522,0.228,0.048,0.328,0.987,0.0,0.157
2011-2018,0.16,0.79,0.006,0.886,0.523,0.196,0.01,0.296,0.164,0.157,0.0
