synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s106689,maske,1901-1910,1911-1920,0.004949015971550434,0.21550441775301524
s106689,maske,1911-1920,1921-1930,0.00727308484724829,0.2167462096145906
s106689,maske,1921-1930,1931-1940,0.014542987945071596,0.17120709107219562
s106689,maske,1931-1940,1941-1950,0.004412560586751764,0.2643414342191411
s106689,maske,1941-1950,1951-1960,0.012935550220433434,0.25734427487088923
s106689,maske,1951-1960,1961-1970,0.00744029018248417,0.3817813278325073
s106689,maske,1961-1970,1971-1980,0.004722141736856675,0.4864128187102588
s106689,maske,1971-1980,1981-1990,0.011568540992672672,0.6970396217963599
s106689,maske,1981-1990,1991-2000,0.025393590691335163,0.6854799517773291
s106689,maske,1991-2000,2001-2010,0.013955333398870968,0.16261995542401925
