,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,1.8517917187731672,2.7844988619688005,2.1421617707201546,1.9064291113095444,2.31663177753604,2.256417738589925,2.4816801241611643,2.2679275894983997,2.0744275608360856,1.8912481413485827,2.835711416921739
1911-1920,1.8517917187731672,0.0,2.5371750109666857,2.5105981590082505,2.495738419452491,2.6846471675769203,2.2986929710888147,2.9156257690843472,3.110450405606697,2.871243198521688,2.548353432836146,3.41611538474351
1921-1930,2.7844988619688005,2.5371750109666857,0.0,2.9368127131006463,2.432227792313074,2.777120101918716,2.4286032874668493,3.013272038332747,3.1840939452612087,3.6410830007747816,3.2819068812299563,3.906708925178103
1931-1940,2.1421617707201546,2.5105981590082505,2.9368127131006463,0.0,1.9967646422533918,2.4260361198481326,2.6229859720110507,3.0447297372238045,2.8696080709476424,2.2043859123603533,2.220471251908549,3.3514396999795104
1941-1950,1.9064291113095444,2.495738419452491,2.432227792313074,1.9967646422533918,0.0,2.0657071663659634,2.2064921877245727,2.0463515556161465,2.022506972487659,2.1583783478689575,1.915215428315371,2.462906380898998
1951-1960,2.31663177753604,2.6846471675769203,2.777120101918716,2.4260361198481326,2.0657071663659634,0.0,2.684095531996627,2.4503993457740596,2.4422280274253088,2.6005316079253653,2.439806419677334,2.8789337779377266
1961-1970,2.256417738589925,2.2986929710888147,2.4286032874668493,2.6229859720110507,2.2064921877245727,2.684095531996627,0.0,2.5487283726378775,2.4118114218359814,2.682398694265192,2.2644777952623785,3.2404499286736943
1971-1980,2.4816801241611643,2.9156257690843472,3.013272038332747,3.0447297372238045,2.0463515556161465,2.4503993457740596,2.5487283726378775,0.0,1.9237335876271302,2.444529115177316,2.0105828281590354,2.1771430768626403
1981-1990,2.2679275894983997,3.110450405606697,3.1840939452612087,2.8696080709476424,2.022506972487659,2.4422280274253088,2.4118114218359814,1.9237335876271302,0.0,2.1673123970872163,1.8105774666164978,2.375139806938431
1991-2000,2.0744275608360856,2.871243198521688,3.6410830007747816,2.2043859123603533,2.1583783478689575,2.6005316079253653,2.682398694265192,2.444529115177316,2.1673123970872163,0.0,1.206539481635115,2.340307355290204
2001-2010,1.8912481413485827,2.548353432836146,3.2819068812299563,2.220471251908549,1.915215428315371,2.439806419677334,2.2644777952623785,2.0105828281590354,1.8105774666164978,1.206539481635115,0.0,2.151380866349149
2011-2018,2.835711416921739,3.41611538474351,3.906708925178103,3.3514396999795104,2.462906380898998,2.8789337779377266,3.2404499286736943,2.1771430768626403,2.375139806938431,2.340307355290204,2.151380866349149,0.0
