timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,2001-2010,10,5.098917990688617,0.0
1901-1910,2011-2018,11,7.903045244209747,0.0
1911-1920,2011-2018,10,7.093958443774708,0.002
1931-1940,2011-2018,8,7.834570301601622,0.004
1901-1910,1941-1950,4,13.729256295784761,0.005
1901-1910,1951-1960,5,6.714255264955839,0.008
1941-1950,2001-2010,6,12.581387246042484,0.009
1901-1910,1971-1980,7,5.900649147556191,0.01
1901-1910,1961-1970,6,5.514872647628101,0.01
1921-1930,2001-2010,8,6.541017380686974,0.011
1921-1930,2011-2018,9,8.161937522324903,0.011
1901-1910,1991-2000,9,7.88373421323893,0.012
1931-1940,2001-2010,7,5.341215547811202,0.013
1941-1950,2011-2018,7,14.088396782764931,0.014
1931-1940,1951-1960,2,7.082905362478118,0.017
1941-1950,1961-1970,2,13.781882137893927,0.02
1931-1940,1941-1950,1,14.250032398473449,0.026
1941-1950,1971-1980,3,12.638030884794398,0.031
1911-1920,1941-1950,3,12.262932399439702,0.032
1941-1950,1981-1990,4,13.710660355700158,0.033
1901-1910,1911-1920,1,5.406624815500826,0.036
1911-1920,1961-1970,5,5.58170744379039,0.036
1981-1990,2011-2018,3,7.0031081489206635,0.037
1921-1930,1941-1950,2,14.026953393617372,0.044
1941-1950,1951-1960,1,11.974693166892473,0.044
1951-1960,2011-2018,6,6.664672673974921,0.047
