,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1911-1920,0.0,0.389,0.033,0.446,0.011,0.0,0.0,0.0,0.702,0.0
1921-1930,0.389,0.0,0.037,0.732,0.015,0.0,0.0,0.0,0.22,0.005
1931-1940,0.033,0.037,0.0,0.0,0.519,0.0,0.0,0.0,0.798,0.408
1941-1950,0.446,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0
1951-1960,0.011,0.015,0.519,0.0,0.0,0.071,0.008,0.094,0.338,0.329
1961-1970,0.0,0.0,0.0,0.0,0.071,0.0,0.313,0.014,0.0,0.003
1971-1980,0.0,0.0,0.0,0.0,0.008,0.313,0.0,0.108,0.0,0.0
1981-1990,0.0,0.0,0.0,0.0,0.094,0.014,0.108,0.0,0.015,0.002
2001-2010,0.702,0.22,0.798,0.032,0.338,0.0,0.0,0.015,0.0,0.263
2011-2018,0.0,0.005,0.408,0.0,0.329,0.003,0.0,0.002,0.263,0.0
