timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1971-1980,6,6.333868149793993,0.0
1911-1920,1961-1970,5,5.860342734260713,0.0
1911-1920,2011-2018,9,3.619278806911914,0.0
1911-1920,1981-1990,7,4.268351914099745,0.0
1931-1940,1941-1950,1,2.8514085619091785,0.0
1921-1930,1981-1990,6,4.828040386211847,0.0
1921-1930,1971-1980,5,6.5400644581272,0.0
1921-1930,1961-1970,4,5.970984883604684,0.0
1931-1940,1971-1980,4,5.256345593517813,0.0
1931-1940,1961-1970,3,4.969274212496961,0.0
1931-1940,1981-1990,5,4.019969007221861,0.0
1941-1950,2011-2018,6,3.793392346893995,0.0
1941-1950,1981-1990,4,5.03548538433793,0.0
1941-1950,1971-1980,3,6.989128928219398,0.0
1941-1950,1961-1970,2,6.234086926611279,0.0
1941-1950,1951-1960,1,3.5556974137315454,0.0
1971-1980,2001-2010,2,5.548922458536201,0.0
1971-1980,2011-2018,3,5.382256878523194,0.0
1961-1970,2001-2010,3,5.215366370391696,0.0
1981-1990,2011-2018,2,4.62830338323187,0.002
1961-1970,2011-2018,4,4.971978952055952,0.003
1921-1930,2011-2018,8,3.52664609732496,0.005
1951-1960,1971-1980,2,4.600936038636638,0.008
1911-1920,1951-1960,4,3.1216616920264246,0.011
1961-1970,1981-1990,2,4.517262633328921,0.014
1981-1990,2001-2010,1,3.9354348935327663,0.015
1921-1930,1951-1960,3,3.446777496432916,0.015
1941-1950,2001-2010,5,2.6097857510086673,0.032
1911-1920,1931-1940,2,2.380957707499267,0.033
1921-1930,1931-1940,1,2.592626356283089,0.037
