event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1981-1990,6.580202719086882,0.024,8,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
1,1901-1910,1991-2000,6.093226765789241,0.006,9,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
2,1901-1910,2001-2010,5.8161344064494305,0.005,10,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
3,1901-1910,2011-2018,6.329332001581449,0.0,11,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
4,1911-1920,1991-2000,5.994812897183231,0.029,8,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
5,1911-1920,2001-2010,5.863473562274404,0.013,9,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
6,1911-1920,2011-2018,6.359023810900748,0.015,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
7,1931-1940,2001-2010,5.423432484287335,0.008,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
8,1931-1940,2011-2018,5.597914512928587,0.005,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
9,1961-1970,2001-2010,4.816744473534248,0.024,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
10,1961-1970,2011-2018,4.695059836545746,0.037,5,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
11,1971-1980,1991-2000,5.488159141257228,0.024,2,"1981-1990,1991-2000",sudden_shift
12,1971-1980,2001-2010,4.729703206095761,0.035,3,"1981-1990,1991-2000,2001-2010",sudden_shift
