synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s47572,schimmel,1901-1910,1911-1920,0.09946704670877318,1.7788214733383134
s47572,schimmel,1911-1920,1921-1930,0.021114865244772966,0.19328621421482695
s47572,schimmel,1921-1930,1931-1940,0.03768375230786837,0.08280043295957366
s47572,schimmel,1931-1940,1941-1950,0.02276945416430832,0.21986761861843776
s47572,schimmel,1941-1950,1951-1960,0.03324115589261396,0.15967124382321585
s47572,schimmel,1951-1960,1961-1970,0.044334793522161166,0.9305611618627723
s47572,schimmel,1961-1970,1971-1980,0.05903188945013626,0.2252672078633828
s47572,schimmel,1971-1980,1981-1990,0.005346543644572376,0.33583249830665535
s47572,schimmel,1981-1990,1991-2000,0.019279531538864348,0.19433893656817403
s47572,schimmel,1991-2000,2001-2010,0.020349814075638482,0.1362018755181393
