,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,2.743638610794694,3.5100552969122005,2.7270302194611884,3.497132401577246,3.0373946449311013,3.743156272531217,2.9883664077903718,2.531238957532225,4.822256941045954,4.041923037504077,5.425287150010593
1911-1920,2.743638610794694,0.0,3.3680438595671234,2.728809836403885,3.5747548086402356,3.4110710317750152,3.5095043789529123,3.628663599314654,2.9174882644041515,4.707570223392105,4.080733820998544,5.703911489916325
1921-1930,3.5100552969122005,3.3680438595671234,0.0,4.150816798989181,4.293720209489703,4.392861525804002,4.960228489393682,4.166425186648795,4.045340620555421,5.046302564600312,4.489683354760915,5.0842689243389
1931-1940,2.7270302194611884,2.728809836403885,4.150816798989181,0.0,3.5160414957422708,3.2662050245707706,3.131542022897441,3.6230075052158117,2.3244064311727515,4.841303092782322,4.6496624842149865,5.887810825238161
1941-1950,3.497132401577246,3.5747548086402356,4.293720209489703,3.5160414957422708,0.0,3.35929930000227,4.504825450310315,4.032713461835725,3.754394155008434,5.912545347749803,4.763396218177469,6.254559340126873
1951-1960,3.0373946449311013,3.4110710317750152,4.392861525804002,3.2662050245707706,3.35929930000227,0.0,3.6150063197743005,3.3026911572523026,3.669753953258168,5.129298196021752,3.8284625490583717,5.300781202816364
1961-1970,3.743156272531217,3.5095043789529123,4.960228489393682,3.131542022897441,4.504825450310315,3.6150063197743005,0.0,3.784506536537042,3.053553237757841,4.23799992037072,4.304570261981085,4.89602755011479
1971-1980,2.9883664077903718,3.628663599314654,4.166425186648795,3.6230075052158117,4.032713461835725,3.3026911572523026,3.784506536537042,0.0,3.375524245310206,4.764882042455694,4.009863701069431,5.011967222251616
1981-1990,2.531238957532225,2.9174882644041515,4.045340620555421,2.3244064311727515,3.754394155008434,3.669753953258168,3.053553237757841,3.375524245310206,0.0,4.700285111245626,4.342510985343767,5.779996584147128
1991-2000,4.822256941045954,4.707570223392105,5.046302564600312,4.841303092782322,5.912545347749803,5.129298196021752,4.23799992037072,4.764882042455694,4.700285111245626,0.0,5.358163155194352,4.727271677199597
2001-2010,4.041923037504077,4.080733820998544,4.489683354760915,4.6496624842149865,4.763396218177469,3.8284625490583717,4.304570261981085,4.009863701069431,4.342510985343767,5.358163155194352,0.0,5.254046919664266
2011-2018,5.425287150010593,5.703911489916325,5.0842689243389,5.887810825238161,6.254559340126873,5.300781202816364,4.89602755011479,5.011967222251616,5.779996584147128,4.727271677199597,5.254046919664266,0.0
