,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,4.490292896868043,2.9768024580175974,5.008622367516684,5.308285676757237,4.095090624399105,5.151375771712885,5.8165359335225935,5.954710019231896,4.1053053356153875,5.122689117775068
1911-1920,4.490292896868043,0.0,3.9109171911735983,4.302722069251952,4.1281659268970134,4.073904235114421,4.79826591304568,5.103379173188967,5.549388375805691,3.5067043108957945,4.950948880718884
1921-1930,2.9768024580175974,3.9109171911735983,0.0,3.8784815121749716,4.012060960763478,3.224225571954678,4.443209093836798,4.784238805730739,4.878844935676516,3.333795699772949,4.191430771711249
1931-1940,5.008622367516684,4.302722069251952,3.8784815121749716,0.0,2.434571547573583,2.597144850245602,2.847531946526946,2.4099179831351045,2.5833527903507947,2.6636588725785555,2.537597544449289
1941-1950,5.308285676757237,4.1281659268970134,4.012060960763478,2.434571547573583,0.0,3.1815925455489524,3.427773716821887,3.2477939797978523,3.6591391214172715,3.2917740213995668,2.8700800970441787
1951-1960,4.095090624399105,4.073904235114421,3.224225571954678,2.597144850245602,3.1815925455489524,0.0,3.754147341622316,3.4246260679273193,3.757531524932899,2.481523834354002,2.9714819009387177
1961-1970,5.151375771712885,4.79826591304568,4.443209093836798,2.847531946526946,3.427773716821887,3.754147341622316,0.0,3.5161407927745607,3.380946516791079,3.610392527992511,3.085493337656063
1971-1980,5.8165359335225935,5.103379173188967,4.784238805730739,2.4099179831351045,3.2477939797978523,3.4246260679273193,3.5161407927745607,0.0,1.9485118760936264,3.3572766420001474,2.620758781930342
1981-1990,5.954710019231896,5.549388375805691,4.878844935676516,2.5833527903507947,3.6591391214172715,3.757531524932899,3.380946516791079,1.9485118760936264,0.0,3.5588983647250383,3.0083292453404336
2001-2010,4.1053053356153875,3.5067043108957945,3.333795699772949,2.6636588725785555,3.2917740213995668,2.481523834354002,3.610392527992511,3.3572766420001474,3.5588983647250383,0.0,3.241006966492748
2011-2018,5.122689117775068,4.950948880718884,4.191430771711249,2.537597544449289,2.8700800970441787,2.9714819009387177,3.085493337656063,2.620758781930342,3.0083292453404336,3.241006966492748,0.0
