timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1921-1930,2,3.252008330094771,0.0
1901-1910,1931-1940,3,5.868786920437829,0.0
1901-1910,1941-1950,4,5.1324142881397465,0.0
1901-1910,2001-2010,9,5.723283415864777,0.0
1921-1930,1931-1940,1,3.898632369574579,0.0
1901-1910,1961-1970,6,4.700482864245938,0.001
1901-1910,1911-1920,1,4.2647885410428765,0.003
1921-1930,1941-1950,2,2.7907825481383433,0.004
1931-1940,1971-1980,4,5.243855163200548,0.02
1901-1910,2011-2018,10,5.253127190662674,0.033
1901-1910,1981-1990,8,5.117235932249919,0.042
1921-1930,2001-2010,7,3.861210199144963,0.045
1951-1960,2001-2010,4,5.441104332250506,0.049
