,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.529,0.233,0.169,0.577,0.606,0.694,0.312,0.285,0.383,0.146
1921-1930,0.529,0.0,0.898,0.387,0.665,0.167,0.862,0.063,0.916,0.634,0.803
1931-1940,0.233,0.898,0.0,0.199,0.288,0.083,0.764,0.005,0.831,0.463,0.556
1941-1950,0.169,0.387,0.199,0.0,0.364,0.029,0.32,0.01,0.162,0.089,0.122
1951-1960,0.577,0.665,0.288,0.364,0.0,0.43,0.743,0.251,0.318,0.356,0.164
1961-1970,0.606,0.167,0.083,0.029,0.43,0.0,0.264,0.33,0.034,0.064,0.018
1971-1980,0.694,0.862,0.764,0.32,0.743,0.264,0.0,0.111,0.461,0.832,0.214
1981-1990,0.312,0.063,0.005,0.01,0.251,0.33,0.111,0.0,0.002,0.011,0.0
1991-2000,0.285,0.916,0.831,0.162,0.318,0.034,0.461,0.002,0.0,0.4,0.29
2001-2010,0.383,0.634,0.463,0.089,0.356,0.064,0.832,0.011,0.4,0.0,0.116
2011-2018,0.146,0.803,0.556,0.122,0.164,0.018,0.214,0.0,0.29,0.116,0.0
