,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,2.6891474805908593,2.1242868694193233,2.0769924192493,1.8442665317523141,1.9989070416168673,2.3202103975905457,2.1510453672707133,3.174367099389172,2.1597419850173702,2.223124441850148,3.1171230874560347
1911-1920,2.6891474805908593,0.0,2.5220568244634802,2.2790759033199146,3.179669791822252,3.4428498838981247,3.839830266758931,3.4243138795653456,4.238653731450143,3.4891048855209323,3.685223915327043,4.077458751152267
1921-1930,2.1242868694193233,2.5220568244634802,0.0,2.2324498595214655,2.1077608180064646,2.4395625827616407,2.545596074381627,2.2791239747178698,3.753392371631955,2.68320048440536,2.512789796157925,3.4804738957700363
1931-1940,2.0769924192493,2.2790759033199146,2.2324498595214655,0.0,2.5951664727752615,2.9536339478389513,3.1703284630902044,3.129903177248989,4.256555614366138,3.100457130405682,3.301684341082568,4.0954235435964
1941-1950,1.8442665317523141,3.179669791822252,2.1077608180064646,2.5951664727752615,0.0,1.7915053566610646,1.8574439295143306,1.9157675179582512,3.3934050675148564,2.093907002173001,1.9599130929592543,2.994343506337277
1951-1960,1.9989070416168673,3.4428498838981247,2.4395625827616407,2.9536339478389513,1.7915053566610646,0.0,1.9415669073201134,1.7712659704803138,2.9457331950042094,1.550361692890385,1.7248211800707394,2.577913335002945
1961-1970,2.3202103975905457,3.839830266758931,2.545596074381627,3.1703284630902044,1.8574439295143306,1.9415669073201134,0.0,1.8265427256609785,3.4879904359447784,1.880942264019542,2.0744028817236506,2.9710589072074733
1971-1980,2.1510453672707133,3.4243138795653456,2.2791239747178698,3.129903177248989,1.9157675179582512,1.7712659704803138,1.8265427256609785,0.0,2.4815651691663807,1.7381141255230301,1.4610441360880264,2.244842681868162
1981-1990,3.174367099389172,4.238653731450143,3.753392371631955,4.256555614366138,3.3934050675148564,2.9457331950042094,3.4879904359447784,2.4815651691663807,0.0,2.9950861512632088,2.686143777401982,2.4078428984309457
1991-2000,2.1597419850173702,3.4891048855209323,2.68320048440536,3.100457130405682,2.093907002173001,1.550361692890385,1.880942264019542,1.7381141255230301,2.9950861512632088,0.0,1.6755858396563568,2.037102219600883
2001-2010,2.223124441850148,3.685223915327043,2.512789796157925,3.301684341082568,1.9599130929592543,1.7248211800707394,2.0744028817236506,1.4610441360880264,2.686143777401982,1.6755858396563568,0.0,2.1049212815316483
2011-2018,3.1171230874560347,4.077458751152267,3.4804738957700363,4.0954235435964,2.994343506337277,2.577913335002945,2.9710589072074733,2.244842681868162,2.4078428984309457,2.037102219600883,2.1049212815316483,0.0
