,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.134,0.027,0.436,0.478,0.153,0.201,0.19,0.583,0.117,0.036,0.144
1911-1920,0.134,0.0,0.97,0.332,0.307,0.052,0.115,0.117,0.434,0.474,0.727,0.539
1921-1930,0.027,0.97,0.0,0.41,0.924,0.519,0.066,0.484,0.847,0.132,0.568,0.718
1931-1940,0.436,0.332,0.41,0.0,1.0,0.447,0.818,0.618,1.0,0.321,0.194,0.487
1941-1950,0.478,0.307,0.924,1.0,0.0,0.685,0.762,0.655,0.657,0.872,0.693,1.0
1951-1960,0.153,0.052,0.519,0.447,0.685,0.0,0.125,0.124,0.593,0.449,0.39,0.486
1961-1970,0.201,0.115,0.066,0.818,0.762,0.125,0.0,0.952,0.827,0.092,0.107,0.476
1971-1980,0.19,0.117,0.484,0.618,0.655,0.124,0.952,0.0,0.308,0.62,0.565,0.949
1981-1990,0.583,0.434,0.847,1.0,0.657,0.593,0.827,0.308,0.0,0.61,0.552,0.814
1991-2000,0.117,0.474,0.132,0.321,0.872,0.449,0.092,0.62,0.61,0.0,0.725,0.799
2001-2010,0.036,0.727,0.568,0.194,0.693,0.39,0.107,0.565,0.552,0.725,0.0,0.667
2011-2018,0.144,0.539,0.718,0.487,1.0,0.486,0.476,0.949,0.814,0.799,0.667,0.0
