synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s9426,universität,1901-1910,1911-1920,0.04898950730174992,0.21193665428607442
s9426,universität,1911-1920,1921-1930,0.04122156918182892,1.9821536726735773
s9426,universität,1921-1930,1931-1940,0.038060785038396244,0.8033018359332015
s9426,universität,1931-1940,1941-1950,0.013040871483431714,0.08845043061653295
s9426,universität,1941-1950,1951-1960,0.04315561279319268,0.7985837237258362
s9426,universität,1951-1960,1961-1970,0.027202760612050986,0.12814440653939596
s9426,universität,1961-1970,1971-1980,0.0623648050365631,1.2997037968666372
s9426,universität,1971-1980,1981-1990,0.029324007502419844,0.20640308057816537
s9426,universität,1981-1990,1991-2000,0.12729436538965613,0.7846342847019101
s9426,universität,1991-2000,2001-2010,0.022578007052992087,0.6159707401355099
