,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,2.9210128466661187,3.391245779941453,2.746414782539915,3.423235697686027,2.4236489032843345,2.8882634014044553,2.7943033043081087,2.20223550657721,3.6628582288090685,3.455546434216772,3.3916001520776184
1911-1920,2.9210128466661187,0.0,3.8837041811471216,3.6753519596345496,4.036469008903719,3.5332056114925243,4.105348911942575,3.641356700982152,3.4101497352265993,4.343142591664016,4.5170893939403305,4.777178556202229
1921-1930,3.391245779941453,3.8837041811471216,0.0,4.018774695410128,3.9697901175183277,3.2905097801013277,4.244118201289939,3.5163602447852336,3.8083911374951134,4.894672950377339,4.508554655583627,4.116071821709693
1931-1940,2.746414782539915,3.6753519596345496,4.018774695410128,0.0,2.6193846432114,3.1156720282383197,3.570386078359503,2.912187784940197,2.6913858882221495,5.049632331827596,4.1390736031222355,4.234004456152451
1941-1950,3.423235697686027,4.036469008903719,3.9697901175183277,2.6193846432114,0.0,3.1828309275691256,3.912329355923997,2.950528821492169,3.490415569021024,5.552719131784133,4.0889108263308716,3.860970079114285
1951-1960,2.4236489032843345,3.5332056114925243,3.2905097801013277,3.1156720282383197,3.1828309275691256,0.0,3.1907627892700243,2.85117444401835,2.821234695077204,4.411985593940968,3.6233410578651974,3.4913618980012093
1961-1970,2.8882634014044553,4.105348911942575,4.244118201289939,3.570386078359503,3.912329355923997,3.1907627892700243,0.0,3.018659749892813,3.5696306828027153,4.465164468746279,4.342504503733737,3.688322694796316
1971-1980,2.7943033043081087,3.641356700982152,3.5163602447852336,2.912187784940197,2.950528821492169,2.85117444401835,3.018659749892813,0.0,2.9098847116809403,4.671973507603835,3.8415034404414143,3.3095111214838657
1981-1990,2.20223550657721,3.4101497352265993,3.8083911374951134,2.6913858882221495,3.490415569021024,2.821234695077204,3.5696306828027153,2.9098847116809403,0.0,4.2216755640735455,3.361735369869927,3.7114314442514362
1991-2000,3.6628582288090685,4.343142591664016,4.894672950377339,5.049632331827596,5.552719131784133,4.411985593940968,4.465164468746279,4.671973507603835,4.2216755640735455,0.0,3.7589864994709643,4.1629123348637735
2001-2010,3.455546434216772,4.5170893939403305,4.508554655583627,4.1390736031222355,4.0889108263308716,3.6233410578651974,4.342504503733737,3.8415034404414143,3.361735369869927,3.7589864994709643,0.0,3.2474691944498377
2011-2018,3.3916001520776184,4.777178556202229,4.116071821709693,4.234004456152451,3.860970079114285,3.4913618980012093,3.688322694796316,3.3095111214838657,3.7114314442514362,4.1629123348637735,3.2474691944498377,0.0
